feature_type,regressor,train_size,trial,method,coverage,width
Multivariate,MLP,1654,9,MAPIE_Online,0.8826343934703068,329.9050474232713
Multivariate,MLP,1654,9,MAPIE_Batch,0.8587109484942302,203.76135977864035
Multivariate,MLP,2433,0,Original_GitHub,0.9149675991781255,398.0698601677577
Multivariate,MLP,2433,0,Reimplementation,0.9149675991781255,398.0698601677577
Multivariate,MLP,2433,0,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,0,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,1,Original_GitHub,0.9149675991781255,397.74340167990766
Multivariate,MLP,2433,1,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,1,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,2,Original_GitHub,0.915283704757389,395.880424906504
Multivariate,MLP,2433,2,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,2,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,3,Original_GitHub,0.915283704757389,397.3619412887353
Multivariate,MLP,2433,3,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,3,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,4,Original_GitHub,0.9151256519677572,397.7094556278032
Multivariate,MLP,2433,4,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,4,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,5,Original_GitHub,0.9149675991781255,398.65486293080926
Multivariate,MLP,2433,5,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,5,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,6,Original_GitHub,0.915283704757389,397.7557923560234
Multivariate,MLP,2433,6,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,6,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,7,Original_GitHub,0.9151256519677572,397.65427706130504
Multivariate,MLP,2433,7,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,7,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,8,Original_GitHub,0.9149675991781255,397.2798030403373
Multivariate,MLP,2433,8,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,8,MAPIE_Batch,0.8538011695906432,245.2003614299457
Multivariate,MLP,2433,9,Original_GitHub,0.915283704757389,398.5864801138136
Multivariate,MLP,2433,9,MAPIE_Online,0.9058005373794847,335.6626941180044
Multivariate,MLP,2433,9,MAPIE_Batch,0.8538011695906432,245.2003614299457
Univariate,Ridge,876,0,Original_GitHub,0.8954845256215119,180.0388969062921
Univariate,Ridge,876,0,Reimplementation,0.8954845256215119,180.0388969062921
Univariate,Ridge,876,0,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,0,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,1,Original_GitHub,0.8948503297818367,180.38256159024456
Univariate,Ridge,876,1,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,1,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,2,Original_GitHub,0.8935819381024861,180.82443246583375
Univariate,Ridge,876,2,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,2,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,3,Original_GitHub,0.8942161339421614,181.6082469627177
Univariate,Ridge,876,3,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,3,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,4,Original_GitHub,0.8945966514459666,183.2936131482895
Univariate,Ridge,876,4,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,4,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,5,Original_GitHub,0.8942161339421614,181.544018957269
Univariate,Ridge,876,5,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,5,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,6,Original_GitHub,0.8945966514459666,180.93062898341495
Univariate,Ridge,876,6,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,6,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,7,Original_GitHub,0.8940892947742263,180.50881796909704
Univariate,Ridge,876,7,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,7,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,8,Original_GitHub,0.8947234906139016,180.04581556356496
Univariate,Ridge,876,8,MAPIE_Online,0.895738203957382,171.66187461124957
Univariate,Ridge,876,8,MAPIE_Batch,0.7356671740233384,72.82847846726133
Univariate,Ridge,876,9,Original_GitHub,0.8952308472856418,180.86996150414257
