feature_type,regressor,alpha,trial,method,coverage,width
Multivariate,MLP,0.2,9,MAPIE_Online,0.7778253424657534,251.11731762942856
Multivariate,MLP,0.2,9,MAPIE_Batch,0.591466894977169,112.94522990725227
Multivariate,MLP,0.25,0,Original_GitHub,0.7518550228310502,85.17428591333328
Multivariate,MLP,0.25,0,Reimplementation,0.7518550228310502,85.17428591333328
Multivariate,MLP,0.25,0,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,0,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,1,Original_GitHub,0.7529965753424658,85.77780730872186
Multivariate,MLP,0.25,1,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,1,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,2,Original_GitHub,0.7535673515981736,86.92430978448209
Multivariate,MLP,0.25,2,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,2,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,3,Original_GitHub,0.7537100456621004,86.51602648535652
Multivariate,MLP,0.25,3,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,3,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,4,Original_GitHub,0.752568493150685,85.93752311882463
Multivariate,MLP,0.25,4,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,4,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,5,Original_GitHub,0.7532819634703196,86.00307487824159
Multivariate,MLP,0.25,5,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,5,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,6,Original_GitHub,0.7531392694063926,86.16996972157919
Multivariate,MLP,0.25,6,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,6,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,7,Original_GitHub,0.7539954337899544,86.68004709489323
Multivariate,MLP,0.25,7,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,7,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,8,Original_GitHub,0.752568493150685,86.25292772938177
Multivariate,MLP,0.25,8,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,8,MAPIE_Batch,0.5251141552511416,84.61215806911653
Multivariate,MLP,0.25,9,Original_GitHub,0.752568493150685,85.63839682632472
Multivariate,MLP,0.25,9,MAPIE_Online,0.7313070776255708,207.98504027851433
Multivariate,MLP,0.25,9,MAPIE_Batch,0.5251141552511416,84.61215806911653
Univariate,Ridge,0.05,0,Original_GitHub,0.9489155251141552,302.1425244081708
Univariate,Ridge,0.05,0,Reimplementation,0.9489155251141552,302.1425244081708
Univariate,Ridge,0.05,0,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,0,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,1,Original_GitHub,0.949486301369863,300.6686549110493
Univariate,Ridge,0.05,1,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,1,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,2,Original_GitHub,0.9487728310502284,300.788907358869
Univariate,Ridge,0.05,2,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,2,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,3,Original_GitHub,0.9489155251141552,301.43529183937295
Univariate,Ridge,0.05,3,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,3,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,4,Original_GitHub,0.9489155251141552,300.31795630182876
Univariate,Ridge,0.05,4,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,4,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,5,Original_GitHub,0.949486301369863,300.91718543375987
Univariate,Ridge,0.05,5,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,5,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,6,Original_GitHub,0.9489155251141552,300.07628580632553
Univariate,Ridge,0.05,6,MAPIE_Online,0.951769406392694,301.1049682778873
Univariate,Ridge,0.05,6,MAPIE_Batch,0.877283105022831,149.18642221078704
Univariate,Ridge,0.05,7,Original_GitHub,0.949486301369863,301.4216624713977
